POLY_NO,CUST_ID,CUST_ROLE,GOOD_CLSF_CDNM,CNTT_YM,CLLT_FP_PRNO,REAL_PAYM_TERM,SALE_CHNL_CODE,CNTT_STAT_CODE,EXPR_YM,PAYM_CYCL_CODE,MAIN_INSR_AMT,SUM_ORIG_PREM,MNTH_INCM_AMT
30386,15621,5,일반CI,200809,14160,20,1,B,999912,1,25000000,74240,1500000
30387,9979,0,변액종신,200809,30123,20,1,1,999912,1,200000000,476420,13000000
30388,16871,1,일반연금,200809,13777,10,2,B,204209,1,6000000,50000,3000000
30389,8998,1,정기,200809,2593,20,1,J,204409,1,50500000,50800,5000000
30390,19920,1,일반종신,200810,24007,20,1,1,999912,1,20000000,109960,3000000
30391,15855,0,변액연금,200809,13985,5,1,B,999912,1,7200000,120092,3000000
30392,3781,5,변액종신,200809,8062,20,1,B,999912,1,62500000,70000,700000
30393,112,1,정기,200809,30118,20,1,B,203709,1,100000000,168000,4000000
30394,3244,1,변액종신,200809,10647,20,1,E,999912,1,285714290,400000,2000000
30395,8047,2,변액연금,200809,6315,5,1,E,999912,1,60000000,1007105,3000000
30396,18936,1,변액종신,200809,13417,20,1,B,999912,1,71428570,100000,3000000
30397,14094,0,어린이,200809,13825,10,1,B,203209,1,25000000,37300,3000000
30398,16000,0,일반CI,200809,22469,20,1,J,999912,1,100000000,143900,2000000
30399,4236,5,정기,200809,13565,15,1,B,205109,1,47619050,50000,3500000
30400,4583,1,일반종신,200809,12380,20,7,B,999912,1,42683000,70000,5000000
30401,603,5,일반연금,200809,24595,5,1,B,999912,1,21600000,360288,3000000
30402,5612,4,일반CI,200809,12686,27,1,B,999912,1,80000000,213540,2000000
30403,8994,5,일반CI,200809,9229,20,1,B,999912,1,30000000,81142,2000000
30404,17417,5,일반저축,200809,30111,10,1,J,201809,1,60000000,500000,1500000
30405,5712,5,어린이저축_변액,200809,13629,999,7,1,999912,1,10000000,101527,0
30406,8982,1,정기,200809,5859,20,1,B,203309,1,30000000,65400,2000000
30407,7852,5,보장,200809,10953,20,4,B,205209,1,10000000,89700,0
30408,8018,2,일반종신,200809,5115,20,7,B,999912,1,60000000,73200,3000000
30409,16963,1,변액연금,200809,22540,5,1,B,999912,1,12000000,200188,1000000
30410,10925,1,일반종신,200809,14019,20,7,1,999912,1,50000000,277816,5000000
30411,135,0,변액종신,200809,23474,20,1,B,999912,1,86419750,70000,3000000
30412,10031,1,변액CI,200809,12925,20,1,B,999912,1,46902860,105000,2000000
30413,18727,0,어린이,200810,7685,10,1,1,202610,1,25000000,44550,2500000
30414,8663,5,일반종신,200809,9599,20,1,B,999912,1,50000000,85100,1500000
30415,6891,1,일반연금,200809,2311,10,1,1,999912,1,15000000,125000,5000000
30416,16383,1,변액CI,200809,13867,20,7,E,999912,1,50000000,137690,3000000
30417,17312,2,일반CI,200810,6483,26,1,1,999912,1,30000000,128700,3000000
30418,14529,1,일반연금,200809,22053,5,1,B,999912,1,12000000,200208,3000000
30419,9066,1,일반CI,200810,11002,20,1,1,999912,1,30000000,134250,3000000
30420,2560,0,일반연금,200809,2093,7,1,B,999912,1,8400000,100159,2000000
30421,7746,1,변액종신,200809,11097,30,1,1,999912,1,100000000,143000,3000000
30422,4319,5,일반CI,200809,11738,20,1,1,999912,1,50000000,218920,2500000
30423,10862,1,변액종신,200809,13598,20,1,B,999912,1,100000000,146000,3000000
30424,8727,1,변액CI,200809,12746,25,1,1,999912,1,80000000,159200,2500000
30425,601,0,일반CI,200810,11706,20,1,B,999912,1,75000000,135870,3000000
30426,3619,2,보장,200809,23600,5,1,2,207009,1,7000000,26130,4000000
30427,917,1,변액종신,200809,13321,5,1,B,999912,1,18000000,108720,4000000
30428,11279,5,일반CI,200809,4597,20,1,B,999912,1,40000000,124483,3000000
30429,13457,0,어린이,200809,13176,10,1,B,202309,1,8000000,19840,3000000
30430,386,0,어린이저축_변액,200809,13201,999,1,E,999912,1,10000000,116165,3000000
30431,13463,4,정기,200809,25053,5,1,B,206909,1,21008400,50000,3000000
30432,12388,1,변액종신,200809,22824,20,1,B,999912,1,100000000,147900,5000000
30433,21318,1,일반연금,200809,23383,10,1,B,999912,1,6000000,50000,2500000
30434,10862,1,일반연금,200809,13598,20,1,B,999912,1,6000000,50000,3000000
30435,15284,5,일반CI,200810,13925,20,1,B,999912,1,30000000,126301,4000000
30436,5439,1,정기,200810,13905,20,1,B,205010,1,30000000,60100,3000000
30437,112,0,변액연금,200810,30118,5,1,B,999912,1,30000000,500485,3000000
30438,13505,0,일반CI,200810,25422,15,1,1,999912,1,40000000,266420,2000000
30439,19320,21,어린이저축_변액,200810,24337,999,1,1,999912,1,10000000,300000,3000000
30440,16400,0,보장,200810,25456,20,1,B,207110,1,20000000,39499,2000000
30441,1497,5,일반CI,200810,13823,20,1,B,999912,1,40000000,131900,2800000
30442,13974,1,정기,200810,12189,20,1,1,204010,1,30000000,117586,2000000
30443,10894,2,변액CI,200810,6789,38,1,1,999912,1,51604000,72835,2000000
30444,13511,0,변액종신,200810,26412,20,1,1,999912,1,100000000,260000,2000000
30445,5420,1,일반CI,200810,10703,20,1,1,999912,1,70000000,218779,2000000
30446,4,0,일반저축,200810,21331,5,1,B,201810,1,6000000,100000,3000000
30447,3968,1,변액저축,200810,13917,999,1,B,999912,1,50000000,1000000,5000000
30448,7610,0,일반CI,200810,1994,20,1,B,999912,1,60000000,102714,3000000
30449,12818,2,변액연금,200810,28241,5,1,B,203610,1,60000000,1000000,3000000
30450,6785,1,일반종신,200810,14038,20,1,B,999912,1,25000000,118300,2000000
30451,12926,5,변액종신,200810,8962,20,1,B,999912,1,51852000,67926,7000000
30452,7357,0,어린이저축,200810,14144,10,1,B,202010,1,12000000,100000,5000000
30453,3793,2,변액연금,200810,4744,10,1,B,999912,1,42000000,350998,3000000
30454,4922,5,보장,200810,4992,15,1,J,203510,1,15000000,68260,4000000
30455,9101,0,어린이,200810,13550,10,1,B,203010,1,20000000,37000,3000000
30456,10444,2,변액종신,200810,26265,20,1,B,999912,1,100000000,158400,5000000
30457,2234,0,어린이,200810,13074,10,1,B,202110,1,10000000,33800,2000000
30458,14781,0,일반CI,200810,21925,20,1,1,999912,1,20000000,106760,3000000
30459,1160,0,변액종신,200810,12784,20,1,B,999912,1,30000000,120300,2000000
30460,20567,1,일반종신,200810,11963,20,7,J,999912,1,75000000,209950,20000000
30461,10031,1,변액연금,200810,12925,10,1,B,999912,1,12000000,100169,2000000
30462,4311,2,일반CI,200810,13476,20,1,1,999912,1,30000000,105390,3000000
30463,4311,5,일반CI,200810,13476,20,1,B,999912,1,30000000,152590,2500000
30464,17417,5,일반저축,200810,30111,10,1,B,201810,1,60000000,500000,1500000
30465,6891,1,일반CI,200810,2311,20,1,1,999912,1,40000000,238174,10000000
30466,809,5,변액CI,200810,21836,20,1,1,999912,1,30000000,96400,6000000
30467,15284,1,변액종신,200810,13925,20,1,B,999912,1,100000000,211000,3000000
30468,19903,1,어린이,200810,22892,10,1,4,203301,1,25000000,39300,2000000
30469,6391,1,변액연금,200810,10810,5,1,B,999912,1,6000000,100000,2000000
30470,3497,1,일반연금,200810,31517,10,5,I,999912,1,12000000,100000,0
30471,16736,1,일반저축,200810,14096,3,1,B,205610,1,10800000,300000,3000000
30472,4568,1,변액연금,200810,13449,3,1,B,999912,1,10800000,300243,2000000
30473,10145,5,변액연금,200810,24704,5,1,J,999912,1,12000000,200246,2000000
30474,16000,0,일반CI,200810,22469,20,1,J,999912,1,100000000,143900,2000000
30475,5003,1,변액CI,200810,27473,15,1,3,999912,1,25000000,147550,5000000
30476,1847,1,변액종신,200810,5724,20,1,B,999912,1,100000000,120700,2500000
30477,584,1,변액CI,200810,21144,20,1,1,999912,1,50000000,232301,3000000
30478,809,1,변액CI,200810,21836,20,1,1,999912,1,50000000,232300,6000000
30479,21460,5,변액연금,200810,13720,5,1,B,999912,1,30000000,500890,5000000
30480,15701,5,일반연금,200810,28902,20,1,B,999912,1,6000000,50000,500000
30481,15113,1,일반저축,200810,23110,5,1,B,202010,1,21000000,350000,1000000
30482,21318,1,일반연금,200810,23383,10,1,B,999912,1,6000000,50000,2500000
30483,15013,2,일반CI,200810,21859,20,1,E,999912,1,60000000,131500,5000000
30484,8198,21,어린이저축_변액,200810,13687,999,1,B,999912,1,10000000,311691,7000000
30485,9247,1,변액연금,200810,24503,3,1,B,999912,1,10800000,300492,3000000
30486,13430,1,보장,200810,11209,20,4,B,204210,1,5000000,58450,0
30487,16329,2,일반CI,200810,14216,20,1,J,999912,1,41000000,257298,3500000
30488,1437,5,변액연금,200810,13710,5,1,B,999912,1,18000000,300789,1200000
30489,2751,0,어린이,200810,28107,10,1,B,202510,1,25000000,47100,2000000
30490,7724,1,일반CI,200810,14205,20,1,1,999912,1,50000000,108400,3000000
30491,8284,1,변액연금,200810,12715,3,1,B,999912,1,10800000,300279,2000000
30492,14959,1,보장,200810,13338,20,4,1,205010,1,5000000,45500,0
30493,12850,2,일반CI,200810,13701,20,1,B,999912,1,60000000,161000,3000000
30494,7713,1,일반CI,200810,14233,20,1,1,999912,1,50000000,148360,8000000
30495,2610,1,정기,200810,13690,20,1,1,203410,1,30000000,180600,5000000
30496,13079,1,보장,200810,12947,15,4,1,205710,1,5000000,26400,0
30497,22187,2,일반CI,200810,14204,20,1,1,999912,1,50000000,130850,3000000
30498,22170,1,일반CI,200810,13751,20,7,1,999912,1,50000000,129200,2000000
30499,828,0,변액CI,200810,6960,20,1,1,999912,1,30000000,79200,2000000
30500,6484,2,어린이,200810,26773,10,1,1,202910,1,25000000,46000,4000000
30501,12881,2,정기,200810,31398,20,1,B,207210,1,49757000,49587,1900000
30502,16773,1,일반연금,200810,22181,7,1,B,999912,1,67200000,801288,5000000
30503,1228,1,변액연금,200810,21567,10,1,B,999912,1,12000000,100166,4000000
30504,18401,0,변액CI,200810,22498,20,1,J,999912,1,50000000,105100,3000000
30505,6553,1,일반CI,200810,13170,20,6,1,999912,1,30000000,103070,1500000
30506,16871,1,일반연금,200810,13777,10,2,B,204710,1,6000000,50000,5000000
30507,10390,1,일반CI,200810,14045,20,1,1,999912,1,30000000,141999,2500000
30508,18653,1,보장,200810,13931,20,4,1,204410,1,5000000,34350,0
30509,1037,1,일반CI,200810,2828,20,1,B,999912,1,40000000,158500,4000000
30510,7286,5,변액CI,200810,7718,20,7,B,999912,1,30000000,146380,1700000
30511,2310,1,변액연금,200810,2724,5,1,B,999912,1,60000000,1001410,3000000
30512,8728,5,어린이저축_변액,200810,13693,999,1,B,999912,1,10000000,101061,200000
30513,3168,0,일반CI,200810,13498,20,1,J,999912,1,70000000,325100,5000000
30514,15025,2,일반CI,200810,12989,20,1,B,999912,1,50000000,87927,3000000
30515,9382,5,일반저축,200810,5970,5,1,I,201310,1,60000000,1000000,5000000
30516,13179,2,보장,200810,10927,15,4,B,203810,1,5000000,49500,0
30517,1999,1,일반CI,200810,13751,20,7,E,999912,1,50000000,85300,2000000
30518,15413,1,일반CI,200810,13582,20,1,1,999912,1,30000000,150640,1500000
30519,22188,1,일반CI,200810,13751,20,7,B,999912,1,50000000,106360,2000000
30520,22063,1,변액연금,200810,11109,5,1,B,999912,1,18000000,300240,1500000
30521,15689,5,변액연금,200810,22404,5,1,B,999912,1,24000000,400352,3000000
30522,19061,1,어린이,200810,12301,5,1,2,203902,1,25000000,50600,2000000
30523,16576,1,어린이저축_변액,200810,13927,999,6,1,999912,1,10000000,101194,3500000
30524,5845,0,일반CI,200810,24025,20,1,B,999912,1,30000000,108890,2500000
30525,9906,1,보장,200810,12939,20,4,B,205210,1,5000000,42510,0
30526,12357,1,일반CI,200810,13832,20,1,1,999912,1,60000000,116950,3000000
30527,10145,5,변액연금,200810,24704,5,1,2,999912,1,12000000,200000,2000000
30528,17056,2,어린이,200810,13455,10,1,B,202510,1,25000000,59650,5000000
30529,1970,5,변액종신,200810,13030,20,1,B,999912,1,212121210,350000,7000000
30530,769,0,일반CI,200810,21403,20,1,1,999912,1,50000000,104860,1500000
30531,12071,1,보장,200810,11166,20,4,1,205010,1,5000000,25400,0
30532,8292,2,일반CI,200810,14042,29,1,1,999912,1,50000000,149178,3000000
30533,13181,1,변액CI,200810,20643,20,1,1,999912,1,70000000,162603,1500000
30534,7582,1,변액연금,200810,9021,10,1,B,999912,1,24000000,200408,3000000
30535,14221,0,어린이,200810,24177,10,1,1,202510,1,25000000,41100,3000000
30536,12548,5,보장,200810,3552,20,1,1,204610,1,10000000,44581,1500000
30537,583,1,정기,200810,21577,15,1,J,204010,1,30000000,86097,2000000
30538,12047,1,변액종신,200810,2098,20,1,B,999912,1,100000000,235900,5000000
30539,16801,1,변액CI,200810,24999,20,1,1,999912,1,50000000,139892,3000000
30540,12047,0,어린이,200810,2098,10,1,B,202710,1,25000000,51850,5000000
30541,3185,5,보장,200810,23034,20,1,B,204610,1,10000000,50758,1400000
30542,8327,5,일반CI,200810,7078,25,1,1,999912,1,30000000,107449,2000000
30543,15077,2,일반CI,200810,5521,20,7,1,999912,1,30000000,92000,2000000
30544,22174,21,어린이저축_변액,200810,22752,999,1,1,999912,1,10000000,109173,3000000
30545,12120,0,변액종신,200810,11304,20,7,1,999912,1,150000000,316500,5000000
30546,1991,2,일반CI,200810,13826,17,1,B,999912,1,32000000,163820,3000000
30547,13415,1,정기,200810,28212,5,1,B,203510,1,10940920,50000,2000000
30548,4245,1,변액연금,200810,12017,5,1,B,999912,1,6000000,100080,1000000
30549,60,2,일반CI,200810,5675,20,1,1,999912,1,50000000,225850,2000000
30550,3295,1,변액연금,200810,21536,5,1,B,999912,1,60660000,1012082,3000000
30551,21046,0,어린이,200810,14006,10,1,B,202710,1,25000000,41550,3000000
30552,21120,1,일반CI,200810,976,20,1,J,999912,1,70000000,199050,2000000
30553,18996,1,일반CI,200810,13481,20,7,B,999912,1,33000000,99480,0
30554,7745,1,일반저축,200810,9770,5,1,B,202010,1,18000000,300000,15000000
30555,8409,5,일반CI,200810,14253,20,1,1,999912,1,35000000,73170,2000000
30556,13182,21,어린이저축_변액,200810,27862,999,1,B,999912,1,10000000,102221,3000000
30557,1359,1,변액저축,200811,14225,999,6,B,999912,1,17000000,300000,2000000
30558,1359,1,변액연금,200811,14225,5,6,B,999912,1,12000000,200188,2000000
30559,16037,1,일반CI,200810,10730,20,1,B,999912,1,20000000,95160,3000000
30560,7852,2,보장,200810,10953,20,4,B,205710,1,10000000,52700,0
30561,19430,2,보장,200810,11185,29,4,1,203710,1,5000000,35450,0
30562,5605,2,일반종신,200810,14131,20,1,B,999912,1,100000000,167000,3000000
30563,583,0,정기,200810,21577,20,1,B,203810,1,30000000,129408,2000000
30564,14094,0,일반저축,200810,13825,10,1,E,207010,1,18000000,150000,3000000
30565,14094,1,일반CI,200810,13825,20,1,B,999912,1,50000000,178550,3000000
30566,17385,2,일반CI,200810,387,15,1,B,999912,1,32221000,70001,5000000
30567,14314,1,변액연금,200810,13426,5,1,J,999912,1,15000000,250000,3000000
30568,20721,0,어린이,200810,4987,15,1,1,203210,1,25000000,33200,3000000
30569,9090,1,일반연금,200810,12942,7,4,2,999912,1,8400000,100000,0
30570,14366,1,일반저축,200810,12735,20,1,1,205210,1,12000000,102700,3000000
30571,17244,2,정기,200810,7080,20,1,B,206310,1,104167000,50000,5000000
30572,16576,1,어린이저축_변액,200810,13927,999,6,1,999912,1,10000000,102235,3500000
30573,12475,1,일반CI,200810,21489,20,1,4,999912,1,50000000,122700,3000000
30574,10450,1,일반CI,200810,13556,20,2,B,999912,1,50000000,127300,3000000
30575,8752,1,일반CI,200810,13721,20,1,1,999912,1,50000000,152850,140000
30576,6555,1,일반CI,200810,14142,27,6,B,999912,1,60000000,117560,1300000
30577,13184,1,어린이,200810,4491,10,1,J,203810,1,25000000,50250,2000000
30578,6110,1,어린이,200810,30637,10,1,B,203903,1,25000000,37200,2000000
30579,22098,1,일반종신,200810,13590,20,1,B,999912,1,56484000,70000,5000000
30580,13425,3,변액종신,200810,30068,28,1,1,999912,1,45000000,124200,5000000
30581,8464,1,일반연금,200810,11167,10,4,I,999912,1,18000000,150000,0
30582,4621,0,변액종신,200810,13793,20,7,B,999912,1,30000000,101750,6000000
30583,9730,2,변액종신,200810,22892,20,1,B,999912,1,170000000,408200,5000000
30584,22100,5,일반연금,200810,14070,5,4,I,999912,1,9000000,150000,0
30585,12535,2,일반CI,200810,22406,20,1,J,999912,1,50000000,75785,3000000
30586,20647,5,변액연금,200810,24404,5,1,E,999912,1,84480000,1417500,4000000
30587,3168,0,일반CI,200810,13498,20,1,B,999912,1,70000000,321500,5000000
30588,12221,1,변액CI,200810,13222,31,1,B,999912,1,30000000,76310,1000000
30589,12221,1,변액연금,200810,13222,3,1,B,999912,1,10800000,300240,1000000
30590,12829,1,일반CI,200810,25080,20,1,1,999912,1,30000000,130141,5000000
30591,22189,2,일반CI,200810,23324,15,1,1,999912,1,50000000,263800,5000000
30592,20796,5,일반CI,200810,11524,20,7,B,999912,1,40000000,88180,1200000
30593,15408,5,일반저축,200810,25280,28,1,B,203610,1,12000000,100000,2000000
30594,15408,5,일반저축,200810,25280,28,1,B,203610,1,12000000,100000,2000000
30595,6147,5,변액연금,200810,28590,7,1,B,999912,1,25200000,300582,3000000
30596,13810,1,일반CI,200810,14147,20,1,B,999912,1,30000000,132200,3000000
30597,14056,0,보장,200810,8790,20,1,B,206910,1,20000000,22635,3000000
30598,16748,21,변액CI,200810,5033,29,7,B,999912,1,50000000,185827,3000000
30599,11907,1,일반종신,200810,7432,37,1,B,999912,1,30000000,56000,3000000
30600,17389,1,일반저축,200810,10638,7,7,E,201510,1,25200000,300000,5000000
30601,16329,2,일반CI,200810,14216,20,1,1,999912,1,41000000,262423,3500000
30602,8755,1,보장,200810,13882,20,4,B,206410,1,5000000,21650,0
30603,19120,1,일반CI,200810,13451,20,1,B,999912,1,40000000,98320,1500000
30604,21046,1,일반CI,200810,14006,20,1,B,999912,1,85000000,318400,10000000
30605,11721,1,변액종신,200810,12346,15,1,B,999912,1,100000000,333000,3000000
30606,8996,0,변액종신,200810,25202,20,1,1,999912,1,40000000,107979,2000000
30607,5243,1,변액연금,200810,24049,10,7,B,999912,1,60000000,511178,3000000
30608,14537,1,일반저축,200810,14096,3,1,B,205810,1,21600000,600000,2000000
30609,11713,0,변액CI,200810,12332,20,1,1,999912,1,30000000,51800,3000000
30610,7780,1,보장,200810,11161,20,4,B,205410,1,5000000,24650,0
30611,15731,1,변액연금,200810,11602,5,7,2,999912,1,18000000,300000,3000000
30612,16569,1,변액연금,200810,12505,5,1,B,999912,1,6000000,100092,3000000
30613,20193,1,변액CI,200810,23606,20,1,1,999912,1,30000000,157591,3000000
30614,21006,1,변액연금,200810,8390,5,1,2,999912,1,30000000,500000,1000000
30615,75,0,변액종신,200810,14138,20,7,1,999912,1,30000000,148750,1500000
30616,2885,2,일반연금,200810,6723,5,1,B,999912,1,30000000,500000,5000000
30617,20988,1,정기,200810,14206,15,1,B,204710,1,50000000,88462,4000000
30618,16296,2,정기,200810,10598,20,7,E,204210,1,30000000,94600,3000000
30619,6119,1,일반저축,200810,7080,10,1,B,202810,1,120000000,1000000,2500000
30620,7076,0,일반종신,200810,26271,20,1,J,999912,1,30000000,104750,3000000
30621,11864,5,어린이저축_변액,200810,12958,999,1,B,999912,1,10000000,201373,3000000
30622,8751,2,일반CI,200810,14048,20,1,1,999912,1,50000000,93570,4000000
30623,16000,0,일반CI,200810,22469,20,1,J,999912,1,100000000,143900,2000000
30624,5581,1,변액CI,200810,23195,20,1,1,999912,1,30000000,95550,3000000
30625,5512,1,변액CI,200810,8692,20,1,1,999912,1,50000000,160873,1200000
30626,9795,1,변액종신,200810,10256,20,1,1,999912,1,1000000000,1540000,20000000
30627,17713,1,일반CI,200810,7088,20,1,1,999912,1,25000000,115499,2500000
30628,2498,1,변액연금,200810,31508,5,5,I,999912,1,12000000,200000,0
30629,14975,1,보장,200810,11575,20,4,B,205410,1,5000000,48750,0
30630,19941,1,변액CI,200810,13815,20,1,1,999912,1,30000000,157669,1000000
30631,600,1,변액연금,200810,31508,5,5,I,202510,1,12000000,200000,0
30632,12026,1,일반CI,200810,11320,20,1,1,999912,1,40000000,184882,5000000
30633,10769,1,변액연금,200810,23940,5,1,B,999912,1,30000000,500000,3000000
30634,12015,0,일반CI,200810,22943,20,1,B,999912,1,50000000,80650,5000000
30635,4681,1,변액CI,200810,4282,20,1,1,999912,1,40000000,135766,5000000
30636,9651,1,일반CI,200810,13960,20,1,B,999912,1,35000000,106600,3000000
30637,19188,1,변액연금,200810,3080,5,1,B,999912,1,6000000,100096,2000000
30638,2000,1,어린이저축_변액,200810,13039,999,1,B,999912,1,10000000,112572,3000000
30639,4705,1,변액연금,200810,12720,0,1,I,999912,0,6000000,6000000,3000000
30640,13973,1,변액연금,200810,27800,10,1,B,203510,1,12000000,100262,3000000
30641,454,0,보장,200810,11206,20,4,B,207110,1,5000000,26000,0
30642,454,0,보장,200810,11206,20,4,E,207110,1,5000000,8300,0
30643,2258,5,일반저축,200810,13987,5,1,E,202810,1,30000000,500000,5000000
30644,11210,2,보장,200810,11189,20,4,3,203810,1,5000000,49000,0
30645,7681,1,변액연금,200810,13930,3,1,2,999912,1,36000000,1000000,5000000
30646,15420,0,일반CI,200810,2194,20,2,1,999912,1,60000000,94250,2000000
30647,787,0,변액CI,200810,23116,20,1,B,999912,1,40000000,106700,1000000
30648,11644,1,변액종신,200810,25907,20,1,1,999912,1,10000000,67579,3000000
30649,15420,1,일반CI,200810,2194,20,2,1,999912,1,50000000,159700,2000000
30650,21525,1,변액종신,200810,5725,20,1,B,999912,1,70000000,71400,5000000
30651,3631,2,변액종신,200810,12774,20,1,B,999912,1,100000000,102000,3000000
30652,15687,1,일반연금,200810,14135,20,6,1,999912,1,60000000,501855,5000000
30653,4329,2,변액CI,200810,21895,20,1,1,999912,1,35000000,89526,1500000
30654,8754,2,일반CI,200810,12051,20,1,B,999912,1,50000000,123700,3500000
30655,3781,5,일반저축,200810,14268,5,1,B,202010,1,60000000,1000000,5000000
30656,15734,1,변액연금,200810,23925,7,1,2,999912,1,8400000,100000,3000000
30657,19320,2,변액CI,200810,24337,20,1,1,999912,1,50000000,71800,3000000
30658,21069,1,일반연금,200810,6224,10,1,B,203010,1,30000000,250000,5000000
30659,4833,1,일반CI,200810,13604,15,1,1,999912,1,10000000,123822,10000000
30660,20850,0,일반CI,200810,21094,20,1,B,999912,1,50000000,136800,1000000
30661,17509,1,변액종신,200810,12626,20,1,B,999912,1,135000000,267333,2000000
30662,10180,1,변액종신,200810,9800,20,1,B,999912,1,30000000,53553,1150000
30663,17044,21,정기,200810,11704,20,1,B,204510,1,20000000,50825,2000000
30664,8663,2,어린이,200810,9599,5,1,2,203210,0,25000000,1641200,1200000
30665,20226,1,일반저축,200810,13284,5,1,E,202010,1,60000000,1000000,4000000
30666,10429,21,변액종신,200810,2573,20,1,B,999912,1,30000000,59440,3000000
30667,19943,2,일반CI,200810,13898,20,7,1,999912,1,50000000,102000,0
30668,18401,0,변액CI,200810,22498,20,1,B,999912,1,50000000,105900,3000000
30669,5372,1,변액연금,200810,31508,5,5,B,202410,1,12000000,200000,0
30670,3947,1,일반저축,200810,5472,12,7,B,202010,1,72000000,600000,5000000
30671,6552,2,변액종신,200810,26310,15,1,B,999912,1,20000000,116300,3000000
30672,19374,5,변액종신,200810,12005,20,1,1,999912,1,100000000,251000,4000000
30673,14056,0,보장,200810,8790,20,1,B,207010,1,20000000,21702,3000000
30674,10929,1,일반CI,200810,14184,20,1,B,999912,1,45000000,221690,3000000
30675,454,0,일반연금,200810,11206,20,4,B,999912,1,6000000,50000,0
30676,454,0,일반저축,200810,11206,20,4,B,204910,1,12000000,100000,0
30677,7238,5,변액종신,200810,13065,20,1,1,999912,1,50000000,102000,3000000
30678,887,1,일반연금,200810,13786,10,7,J,999912,1,30000000,250000,3000000
30679,3990,2,일반CI,200810,5342,20,7,B,999912,1,50000000,84300,4000000
30680,20206,1,일반연금,200810,23579,5,1,B,999912,1,45000000,751028,6000000
30681,10787,1,일반CI,200810,13949,20,1,B,999912,1,50000000,109300,5000000
30682,583,0,변액종신,200810,21577,20,1,J,999912,1,120000000,123162,1500000
30683,12007,1,변액연금,200810,11397,3,7,E,999912,1,18000000,500435,15000000
30684,21907,5,변액종신,200810,14153,20,1,B,999912,1,65000000,85150,2500000
30685,16492,0,변액CI,200810,8462,20,1,1,999912,1,100000000,139000,10000000
30686,887,1,변액종신,200810,13786,20,7,J,999912,1,60000000,206774,3000000
30687,12178,1,변액연금,200810,9033,5,1,B,999912,1,6000000,100109,3000000
30688,10212,1,일반저축,200810,11715,5,1,B,202810,1,9000000,150000,1000000
30689,16930,1,정기,200810,2278,15,1,B,206510,1,50000000,50572,1300000
30690,19240,5,변액종신,200810,5679,25,1,B,999912,1,200000000,534000,5000000
30691,21120,1,일반CI,200810,976,20,1,4,999912,1,70000000,199050,3000000
30692,10409,5,변액CI,200810,30094,20,1,J,999912,1,100000000,378023,3000000
30693,15421,1,일반CI,200810,14292,20,1,1,999912,1,30000000,120651,2000000
30694,370,5,일반CI,200810,6901,30,1,1,999912,1,50000000,76150,3000000
30695,3830,1,변액종신,200810,11269,20,1,I,999912,1,50000000,182700,3000000
30696,4018,1,정기,200810,22026,20,1,B,206210,1,55000000,51870,1500000
30697,1526,1,정기,200810,2881,20,1,B,203810,1,30000000,89365,3000000
30698,1965,1,보장,200810,12795,20,4,1,204810,1,5000000,27150,0
30699,10928,2,어린이,200810,12898,10,1,1,203810,1,25000000,37200,3500000
30700,13185,1,정기,200810,221,20,1,1,205610,1,30000000,60594,1200000
30701,4970,0,일반저축,200810,13587,5,1,B,202010,1,36000000,600000,2000000
30702,19753,2,일반CI,200810,21117,20,1,J,999912,1,50000000,120646,3000000
30703,1556,0,변액종신,200810,22833,20,1,B,999912,1,100000000,85200,3000000
30704,2003,2,어린이,200810,4190,10,1,2,202610,0,25000000,2239800,2500000
30705,11973,1,일반CI,200810,4590,20,1,B,999912,1,30000000,139380,3000000
30706,12594,5,변액연금,200810,13984,5,1,B,999912,1,12000000,200000,3000000
30707,8003,1,정기,200810,10321,15,1,E,206410,1,60000000,50400,2000000
30708,16576,1,일반연금,200810,13927,10,6,1,999912,1,6000000,50000,3500000
30709,8124,21,변액종신,200810,26968,20,1,1,999912,1,35000000,116310,2000000
30710,15284,0,변액종신,200810,13925,20,1,J,999912,1,50000000,148000,4000000
30711,20866,1,일반종신,200810,2795,20,1,E,999912,1,80000000,150400,5000000
30712,12535,2,일반CI,200810,22406,20,1,B,999912,1,50000000,75785,5000000
30713,4331,2,보장,200810,11168,20,4,1,207110,1,5000000,29400,0
30714,12025,5,변액종신,200810,7804,20,1,B,999912,1,188679250,300000,3000000
30715,13188,1,일반CI,200810,22910,20,1,B,999912,1,30000000,110367,1200000
30716,9917,1,변액CI,200810,12239,20,1,1,999912,1,100000000,250800,3000000
30717,1256,5,변액CI,200810,11732,41,7,1,999912,1,50000000,86450,2000000
30718,16871,1,일반종신,200810,13777,20,2,B,999912,1,30000000,84940,5000000
30719,6555,1,일반연금,200810,14142,10,6,I,999912,1,6000000,50000,1300000
30720,1427,5,변액연금,200810,13835,5,1,B,999912,1,30000000,500845,6000000
30721,19261,2,일반CI,200810,22775,20,1,1,999912,1,50000000,109324,5000000
30722,14936,1,일반CI,200810,14186,20,1,1,999912,1,20000000,112080,2000000
30723,14500,1,변액연금,200810,14003,7,6,B,204110,1,8400000,100000,3000000
30724,14500,1,일반연금,200810,14003,7,6,B,203610,1,8400000,100000,3000000
30725,14500,1,변액연금,200810,14003,7,6,B,204110,1,8400000,100000,3000000
30726,8290,1,변액종신,200810,11439,20,1,B,999912,1,83850930,135000,5000000
